stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.56,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,1.41,0,0.28,0,0,0.28,23.11,1.41,0,0.56,0,0.28,0,0.28,0.56,0,0.28,0,0,0
21Day,0.37,0,0,2.22,0,1.11,0,0,0,0,0,0,0.37,0,0,0,0,1.11,0.37,1.48,0,0,1.48,18.87,0.37,0,0.37,0,0.74,1.11,0.37,0.37,0.37,0,0,0,0
3Month,0,0.31,0.42,12.9,0.31,0,0.21,0,0.1,0.21,0.31,0,3.12,1.04,0.21,2.39,0.52,14.04,1.04,0.83,0.42,0,0,0.52,0.1,0,1.04,0,0.1,0.42,1.25,0,0,0.21,0.62,0.1,0.31
22Month,0.14,0.14,0.14,6.42,0,0,0.14,0.27,0,0,1.37,0.68,11.34,0.14,0.68,1.91,0.14,3.01,1.37,1.09,0,0.55,0.14,0.55,0,0.14,3.14,0.14,0,0.14,1.09,0.41,0,0,0.27,0,0.14
