stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0,0,0,0,0,0,0,0,0.28,9.58,0,0.56,0,1.13,0.28,35.51,0,0.85,0,0,0,0
21Day,0.37,0,0.37,0,0.74,0,0,0,0,0,0,0,0,20.35,0,5.55,0,0.37,0.74,14.8,1.85,0.74,0.37,0,0,0
3Month,0,0.21,0,0.94,0,0,0.62,0.31,0.42,0.21,0.21,0.31,0.31,11.34,0.73,0.21,0.1,0,0,0.94,0.1,0,0,2.7,0.1,0.21
22Month,0,0,0,0.55,0,0.14,0.14,0,0.96,0,0.14,0,0,1.37,0.14,0,0,0,0,0.41,0,0.14,0,0,0,0.27
