stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,18,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,9,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0.28,0,7.33,0.56,0,0,0,0,0,0,0,0,0,0,0,0.28,20.57,0,5.64,0,0,0,6.48,0.28,0.56,7.33,0,0,0.56,1.69,1.69,0.28,0,0,0
21Day,1.85,0,0,12.58,0.74,1.11,0,1.11,0,0,0,0,0,0,0.37,0.74,1.11,4.07,0,19.61,0,1.85,0,15.54,0.74,0.37,3.7,0.74,0,0,3.7,25.9,0.37,0,0,0.37
3Month,0.21,4.99,0.1,18.31,0.31,0,0.1,0,0.62,0.73,0.1,0,1.25,0.52,0.1,0.62,0.31,14.25,0.42,6.35,2.18,2.91,0.1,2.29,0,0.73,0,0.42,0.73,0,0,0,0,0.31,1.14,0.31
22Month,0,2.32,0,2.05,0.14,0,0,0,0.14,0.96,0,0,1.09,0.27,0.41,0.27,0.14,1.5,0.55,4.1,0.27,1.23,0,0.27,0,0.68,0,0,0.14,0,0.14,0,0.14,0,0,0
