stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,2,25,0,2,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,1.13,0,10.99,4.23,0,1.97,0,0,0.28,0.28,0.28,0,0,0
21Day,1.11,0,0.37,0.74,0,0,0.37,0,0,0,0,0,1.11,0,0,2.22,0.74,1.85,0.74,0.37,1.85,0,0,1.11,0,0.37,0.37,0,0,0,0.37
3Month,0,0.42,0,0.1,0,0,0,0.1,0.1,0,0.73,0,0,0.31,0.1,0.31,0,0.21,0.21,0,0.1,0,0,0,0.83,0.1,0,0,0.1,0.73,0
22Month,0,0,0,0.55,0,0,0,0,0.41,0.14,0.96,0.14,0.27,0.14,0,0.14,0.41,0.68,0,0.14,0,0.14,0,0,0.14,0,0,0,0,0,0.14
