stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0
72hpf,3.95,1.13,3.1,2.25,2.54,0,0,0,0,0,0,0,0,0.56,0,0.85,9.02,0.28,5.36,0,0.56,0.56,0,582.86,21.42,0,0.85,10.99,0,0,3.66,69.33,42.56,0.28,0,0
21Day,2.22,0,2.96,0.37,0.37,0,0,0,0,0,0,0.74,0,1.48,0.37,0,1.85,0.74,2.59,0,0,1.11,0,54.76,5.18,0,0,3.33,1.48,0,0,83.62,10.73,0.74,0,0.37
3Month,0,0,0.73,0,0,0,0,0,0.1,0.1,0,0.83,0.1,0,0.21,0.62,0,0.31,0.31,0.21,0,0,0.1,1.04,0.1,0.1,0,0,0,0.52,0,2.6,0,0.21,0.1,0.1
22Month,0,0.68,0.27,0,0,0.14,0.27,0.14,0,1.09,1.64,15.85,0.14,0,0.82,0.14,0.14,0.55,1.37,0,0.27,0,0,0.55,0,0.41,0.14,0,0.14,0.96,0.41,34.71,0,0,0,0
