stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,2,0,0,7,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,4,60,1,0,1,0,0,0,0,0,0,0
72hpf,1.69,0,0,0.56,0.85,0,0,0,0,0,0,0,0.28,0.56,0,4.23,0,0.28,0.28,80.04,5.64,0,0.28,7.61,0,0,1.13,0,0,0,0
21Day,0.37,0,0.37,3.33,1.85,0,0,0,0.37,0,0.37,0.37,0.37,0.74,0.37,28.49,0,0,0.37,33.67,2.96,0,0,7.03,2.96,0.37,0,0,0.74,0,0.74
3Month,0,0.1,0,1.14,0,0,0.21,0,1.87,0.42,0.1,0.73,0.1,0.21,0.31,8.32,0.1,0.1,0.21,0.1,0,0,0,0.1,0.31,0.62,0,0,0,0.52,0.31
22Month,0,0.14,0,0.41,0,0.14,0.27,0.14,4.37,0.27,0,0.27,0,0,0.68,1.09,0,0,0,0,0,0,0.14,0.14,0,0.27,0,0.14,0,0,0
