stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,3,2,0,0,0,0,0,0,0,2,2,17,0,0,0,3,88,0,2,0,0,0,0,0,0,0
72hpf,0.56,0,1.13,0,0.28,0,0,0,0,0,0.56,0.56,0,1.41,0,0,0,6.2,10.71,0,0.28,0,0,0.56,0,0,0,0
21Day,2.22,0,1.48,0,0,0,0,0,1.11,0,0.37,0,0,4.81,0,0,0.37,2.22,2.22,0.37,1.48,0.74,0,0.37,0.37,0,0,0
3Month,0,0,0.94,0,0,0,0.62,0.1,0,0.21,0.1,0.31,0.21,0.42,0.1,0,0.1,0,0.1,0,0,0,0.62,0,0,0.21,0.1,0.21
22Month,0,0.14,0,0,0,0.14,1.91,0.27,0.41,0.14,0,0,0.14,0.68,0,0.14,0.14,0.27,0,0,0,0,0,0,0,0,0,0
