stage,Cardiomyocyte,Hepatocyte,Keratinocyte,Neural_cell,Osteoblast,Primordial_germ_cell,Radial_glia
72hpf,0,0,0,0.56,0.28,0,0
21Day,0,0,0,0.74,0,0,0
3Month,0.1,0.1,0.1,0.21,0,0.1,0
22Month,0,0.68,0,0.14,0,0,0.14
