stage,Erythroid_progenitor_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Osteoblast,Retinal_cell,T_cell
72hpf,0,0,0.56,0.28,0.28,0,0,0.28
21Day,0.37,0,0,0.37,0.37,0.37,0.37,0
3Month,0,0.1,0,0,0,0,0,0
22Month,0,0.27,0,0,0,0,0,0
