stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,2,31,0,2,0,0,0,0,0,0
72hpf,0.28,0.28,0,0.85,0.28,0,0,0,0,0,0,0,0.85,3.1,0.28,2.54,0,0.56,0,0,0.85,6.76,0,2.25,0,0,0.56,0,0,0
21Day,2.96,0,0,3.33,2.22,0,2.59,0.37,0.37,0,1.85,0,0.37,0.74,0.74,3.33,0,0,0,0,0.37,2.96,0,1.11,0,0,0.74,0,0,0.74
3Month,0,0.21,0.21,3.33,0,0.1,0.42,1.66,1.66,0.73,0.42,0.73,0.21,0.73,2.7,1.04,0.21,0,0.31,0.21,0,0,0,0,0.1,19.35,0,0.31,2.7,2.39
22Month,0,0,0,0.55,0,0,0.41,1.09,3.55,0.68,0.82,0.55,0,0.27,2.46,0.27,0,0,0.14,0,0,0,0.14,0,0.14,1.91,0,0,0,0.14
