stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Granulosa_cell,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0.56,0,0,0,0.28,0
21Day,0,0,0,0,0,0,0,0.37,0,0.37,0,0.37,0.37,0,0,1.11,0
3Month,0,1.46,0,0,0,0.21,0.1,1.46,0.31,0,0.1,0,0,0,0.1,0.1,0
22Month,0.14,0.68,0,0.14,0.14,0.14,0,0.55,0.14,0,0,0,0,0.14,0.14,0,0.14
