stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Pancreatic_macrophage,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0
3Month,0.1,0.1,0.21,0.1,0.1,0.52,0.21,0.1,0.1,0.21,0.21,0,0.1,1.04,0.1,3.12
22Month,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14,0,0
