stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mt_rich_cell,Neurosecretory_cell,Primordial_germ_cell
72hpf,0,0,0,0,0,0,0,0.56,0,0,0
21Day,0,0,0,0,0,0.37,0,0.74,0,0,0
3Month,0,0.1,0.1,0.1,0.1,0,0,0.94,0,0.1,0
22Month,0.14,0.27,0,0,0.55,0,0.41,1.5,0.14,0,0.14
