stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.56,0.85,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,2.54,1.13,0,0,0,0,1.41,0,0,0,0,0
21Day,0,0,0.37,1.11,0,0,0,0,0,0,0,0.37,0,0.37,0,0,0,0,0,0,2.59,1.11,0,0,0.37,1.11,0.37,0,0,0,0,0
3Month,0,0.21,9.47,0.21,0.1,0.1,0.31,0.83,0,6.76,1.14,0.21,2.08,2.5,1.04,0.73,1.14,0.1,0.21,0.42,1.04,0,0.21,0.1,0.83,10.61,0,0.1,0.1,0.31,160.08,0.83
22Month,0.27,0.27,3.01,0,0,0,0,0.27,0.27,7.38,0,0,0.55,0.41,0.41,0.82,1.09,0,0,0,0.96,0,0.41,0,0,4.65,0.14,0,0,0,0.41,0.27
