stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Oligodendrocyte,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
3Month,0.21,0.83,0.31,1.14,2.81,60.75,0.1,0.31,0.21,0.21,0.1,0.31,0,0,0.21,0.31,0.21,0.31,0.1,0.42
22Month,0,0,0,0,0.27,24.6,0,0,0.14,0,0,0.14,0,0.14,0,0,0,0,0,0
