stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Retinal_pigment_epithelial_cell,T_cell
24hpf,1,1,0,4,0,0,0,1,0,0,0,0,14,23,12,0,4,58,0,0,1,1,0
72hpf,0,0,0,0,0.28,0,0,0,0,0,0,0,0.28,2.25,0,0,1.13,0.28,0.28,0,0.28,0,0
21Day,0,0,0,0.37,0.37,0,0,0,0,0,0,0,0,0,0.37,0,0,0.37,0,0,0,0,0
22Month,0,0.41,0.14,0.55,0,1.09,0.14,0,3.69,0.41,0.14,0.14,0.27,0.14,0.41,0.41,0,0,0,26.92,0,0.14,0.27
