stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,21,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0.28,0.28,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0,0,0,0,1.13,1.97,0,0,0.28,0,0,0.28,0,0,0
21Day,0.74,0.37,0.37,0,0,2.59,0,1.11,0,0,0,0.37,0.74,0.74,0,0.37,0,0,1.85,0,0,0.37,0,0.74,1.85,0,0,1.85,0.74,1.11,0.37,0,0,0
3Month,0,0.42,0.21,2.7,0,0,0.21,0.62,0,0.73,0,2.39,1.04,0.31,0.83,0.42,0.73,1.35,0.83,0.1,0,0,0.42,0.21,0.1,1.66,0,0,0.52,25.48,0.1,0.21,23.4,1.66
22Month,0,0,0.14,0.82,0,0,0.27,0,0.27,0.96,0.14,4.51,0.41,0.55,2.32,0,0.14,0.96,0.14,0,0.27,0,0,0,0.27,0.96,0.41,0,0,5.06,0,0,0,0
