stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0,0,0,0,0,0,0.28,0.56,0.28,0,0,27.06,3.38,0,0.28,0.85,0,0,0,0,0
21Day,0,0,0.37,0,0.74,0,0,0,0,0,0,0,0.37,0,0,11.47,1.11,0,0,0,0.37,0,0.37,0,0
3Month,0,0.21,0.62,0,0,0.1,0.31,0.83,0.31,0.1,0,0.21,0.21,0.1,0,0.94,0,0.62,0.1,0,0,0.52,0,0.31,0.52
22Month,0,0,0,0,0,0,0,2.46,0.14,0.27,0,0,0,0,0.14,0,0,0.68,0,0,0,0.68,0,0,0
