stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4,1,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0
72hpf,0,1.13,0.56,0.28,0,0,0,0,0,0,0,0.85,0,0,1.41,0.28,0.28,0,5.07,0,0.28,0,0,0
21Day,0,0.74,0.37,0.37,0,0,0.37,0,0,0,0,3.33,0,0,0.37,0,0,0,1.48,0,0,0,0,0
3Month,0,3.33,0.21,0,4.68,0.83,1.66,0.52,0.83,0.1,0.31,5.62,5.1,0.21,0.1,0,0.1,0.1,0.31,0.21,0,0.52,0.83,0.42
22Month,0.14,0.41,0,0,0.27,0.27,3.14,0.27,0.41,0,0,0.82,0,0,0,0,0,0.14,0,0.14,0,0,0,0
