stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,2,0,0,1,2,0,0,0,1,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,15.78,0,1.13,0,0,2.25,0.28,0,0,0,10.99,0,0.28,0.85,0,0
21Day,0.74,0.37,0,5.18,0.37,0,0,0,0,0,0,0.37,0.37,0,2.22,0,12.95,0,0.37,2.59,1.11,0,0,0,38.48,1.48,0,0.37,1.85,11.47
3Month,0,0.1,0.1,1.66,0,0.1,0.21,0.1,0.42,1.04,0,0,0.31,0.1,0.31,0,3.02,2.39,0,0.21,0,0.1,0,0,0.21,0,0.73,0.1,0,0
22Month,0,0.14,0,0.14,0,0,0,0,0.14,2.46,0.27,0,0,0,0,0,1.5,0.41,0,0.14,0,0,0.14,0.14,0.14,0,0.68,0.27,0,0
