stage,Epithelial_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
24hpf,0,0,0,0,0,0,2,0,2,0,0
72hpf,0,0,0,0,0,0,0.28,1.41,0.56,0.28,0
21Day,0.37,0,0,0,0.37,0.37,0.37,0,0.37,0,0
3Month,0.1,0.21,0,0.1,0,0.1,0.1,0,0,0,0.1
22Month,0,0,0.27,0.14,0,0,0,0,0,0,0
