stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0,0.56,1.41,0,0,0,0,0,0,1.41,2.82,0,1.97,0,0,0,0,82.02,2.25,0.28,4.23,0.28,0,0,9.58,0,0,0.56,0,0,0
21Day,0.37,0,2.22,1.48,0,0,0,0,0,0,0.37,1.11,0,1.85,0,0.37,0,0,38.11,2.22,0,0.74,1.11,0.74,0,1.11,0.74,0.37,0,0,0,0.37
3Month,0.21,0,1.04,0,0,0.1,0.1,1.46,0.21,0.52,0.1,0.21,0.31,0.42,0.1,0,0,0.1,0.1,0.1,3.12,0.62,0.1,0.21,0.83,0.1,0.1,0,0,0.1,0.42,0
22Month,0,0.41,0.41,0,0.14,1.09,0.27,7.65,0,0.82,0,0,0.41,1.09,0,0,0.14,0,1.78,0,2.19,0.41,0,0,3.28,0,0.14,0,0,0,0,0
