stage,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Pancreatic_cell,T_cell
21Day,1.85,0.74,0,0,0,0.37,0.37,0.37,0.37,0.37,0.74
22Month,0.41,0,0.27,0.14,0.41,0,0,0,0,0,0
