stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.56,0,0.28,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0,0.37,0.37,0,0.37,0,2.96,0.37,0,0,0,0,1.11,0.37,0,0,0,0.37,0,0,0,0.37,0.37,0,0,0,0,0,0.37
3Month,0.1,0.21,0.31,1.87,0.1,0,0.31,45.46,27.25,4.06,3.54,0.1,0.1,8.22,0.52,0,0.21,3.12,0,0,0.1,0,0,0.94,0.52,0,0.1,0.31,0.1,0.94
22Month,0,0.27,0.14,0.27,0.14,0,0.27,23.37,29.11,2.46,1.78,0,0,4.1,0.41,1.09,0.14,0,0,0.14,0.14,0.14,0,0,0,0.14,0,0,0,0.41
