stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,2,0,9,0,1,0,0,0,0,1,0,0,0,0,1,1,6,8,0,1,0,0,6,56,0,0,3,0,0,0,0,0,0,0,0,0
72hpf,1.97,0.56,0,2.54,0.28,1.41,0,0,0,0,0,0,0,0.56,0,0.56,8.46,0,4.23,0,0.28,0,0,27.62,14.37,0,0,5.36,0.28,0,1.41,0,0,1.13,0,0,0
21Day,1.48,0.74,0,11.1,1.11,5.55,0.37,0,0,0,0,0.37,0,0.37,1.11,0.37,4.81,1.11,9.25,0,0,0.37,0,11.1,4.44,0,1.11,3.7,0.74,0.37,2.22,0,0.74,0.37,0,0,1.48
3Month,0.21,0.94,0.21,6.87,0.1,0,0.1,0,1.14,0.83,0,8.01,1.25,0.21,1.87,0.42,2.39,2.08,3.95,1.25,0,1.66,0.52,0.42,0,0.52,0.21,0.52,0.31,2.91,0.42,0.1,0,0,1.35,0.94,1.46
22Month,0,0.14,0,1.91,0,0,0,0.14,0.55,0.41,0,6.15,0.14,0,0.55,0,0.27,0.55,0.55,0.14,0.27,0,0,0.14,0.14,0.55,0.27,0.14,0,0.27,0.27,0.14,0,0,0.14,0,0.14
