stage,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell
24hpf,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,1.97,0.28,0,0,0,0,0,0
21Day,0,0.74,0.37,0,0,0.37,0,0,2.22,1.11,0,0,0.37,0.37,0,0
3Month,0.1,0.31,0.31,0.83,0.21,0,0.31,0.1,0,0.42,0,0,0,0,0,0.1
22Month,0,0,1.78,5.06,0.27,0,0,0,0,0.55,0.14,0.14,0,0,0.14,0
