stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0
72hpf,0.28,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0.85,0,1.97,0.28,0,0,0,0,0,0
21Day,0,0.37,0.74,0,0,0,0,0.37,0,0,0,0.37,0,0.74,0.37,0,2.59,0.37,0,0,0.74,0,0,0
3Month,0,0,0.62,0.21,0,0.31,0.31,0.31,0.21,0,0.1,0,0.52,0.21,0.1,0,0,0,0.1,0.1,6.03,0.1,0.42,0.1
22Month,0,0,0.14,0,0,0.14,0.27,0.96,0,0.14,0,0,0,0.14,0,0.14,0,0,0.14,0.14,5.6,0,0,0.14
