stage,Epithelial_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_cell,Retinal_cone_cell
24hpf,0,0,0,1,0,0,0
72hpf,0.28,0.28,5.07,0,0.28,0.28,0.28
21Day,0,0,2.22,0.37,0,0,0
