stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,2,2,0,3,0,0,0,0,2,0,0,0,0,2,0,8,0,0,0,0,3,55,0,1,0,0,0,0,1,0
72hpf,0.28,0.28,0,0,0,0,0,0,0,0.28,0,0,0.85,0.28,0,1.69,0,0,0,0,8.46,6.76,0,1.13,0,0,0.28,0.28,0,0
21Day,2.96,0,0,0.74,0,1.48,0,0,0,1.85,0,0,0,0,0.74,2.22,0,0,0.74,0,1.85,6.66,0,0.74,0.74,0.37,0,0.37,0,0.37
3Month,0.1,0,0.1,6.35,0.1,0,0.31,0.21,0,4.68,0.21,1.46,0.42,3.22,0.31,0.42,0.1,0.1,0.21,0.42,0.1,0,0.1,0,0,11.34,0,0,0,0.21
22Month,0,0,0,0.68,0,0,0.14,0,0,4.65,0,0.27,0,0.14,0.14,0.14,0.14,0.27,0.14,0,0,0,0,0,0,3.28,0,0,0,0
