stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,1,40,0,2,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0.85,0,0,0,0.28,2.25,0.85,0,0,0,0,0,0,0,0
21Day,0,0,0,0.74,0.74,0,0,0,0,0,0,0,0,0,0.37,0,1.48,0,0,0,0,1.11,0,0,0,0,2.22,0,0,0,0.74
3Month,0,0.1,0.21,1.14,0,0.31,0.31,0.31,0.42,0,14.98,0.62,1.04,0.21,0.21,0.62,1.14,0.31,0,0.42,0.31,0.31,0.21,0.31,0.1,1.04,43.17,0.1,0.21,8.63,0.73
22Month,0,0.68,0.27,1.09,0,0.14,0,0,0.27,0.27,9.02,0.14,1.37,0.14,0.27,0.41,1.5,0,0.41,0,0,0.27,0,0.41,0,0,1.64,0,0.14,0,0.68
