stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0.28
3Month,0.1,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.94,0
22Month,0,0.27,0,0.14,0.55,0,0,0,0,0.27,0
