stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.56,0.56,0,0,0,0,0,0,0,0.28,0.28,0.28,0.85,0,0.28,0,55.52,1.13,0,0.56,0,0,0,0.28,0,0,0,0,0
21Day,0.74,0.74,0.37,2.59,4.44,1.11,0,0.74,0.74,0.37,2.22,0,0.37,3.33,1.11,5.55,0,0.37,0,138.75,3.33,0.74,2.96,4.81,0,1.85,2.59,2.22,0.37,0,0,1.11
3Month,0,0,0.1,0.1,0,0,0.31,0.21,0.62,0.1,0,0.42,0,0.1,0.52,0.42,0,0.1,0.1,2.08,0,0,0,0.31,2.81,0.62,0.1,0,0.1,0.31,17.79,0.21
22Month,0.14,0.27,0,0.27,0,0,0,0.55,0.82,0.14,0,0.14,0,0,0,0.41,0.14,0,0,3.01,0.14,0,0,0.14,0.68,0.96,0.96,0,0,0,0,0
