stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0.56,0,3.38,0,2.82,0,0,0.85,1.13,0,7.61,1.41,0,0,0,0,0,0,0
21Day,0.37,0.37,0.37,2.22,0.37,0,0.37,0,0,5.18,0,0,0.37,0,0.37,0.37,30.34,0,0.37,1.11,0,0.74,1.48,0,41.07,0.74,0.74,0.37,0.37,0.74,0,0,0.37
3Month,0.1,0.21,0.31,1.66,0,0.1,0,0.31,0.52,41.19,0.42,0.1,0.52,0.21,0.21,0.31,2.81,1.14,0.31,0.42,0.42,0.1,0.1,0.1,0,0.52,1.25,0,0,0,0.31,1.25,0.73
22Month,0.14,0.27,0.41,0.27,0,0,0,0.14,1.23,31.16,0.14,0.14,0.41,0,0.14,0.41,1.91,0,0.82,0,0,0,0,0,0,0,0.14,0.14,0,0,0.14,0,0.14
