stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,51,83,1,0,0,0,0,0,0,0,0,0,0
72hpf,7.05,0.85,0,3.95,0.85,5.92,0.28,0,0.28,0,0,0,0,0.85,10.99,1.41,8.74,0,0,810.31,46.22,1.97,8.46,12.97,0.28,0.56,4.79,0.56,0.28,0.28,0,0
21Day,1.48,0,0.37,9.25,0,3.7,1.11,0.37,0,0.37,0,0,0.37,0,0.74,1.48,3.7,0.74,0,130.98,7.77,1.85,4.44,3.7,4.44,0.37,1.11,0.74,0,0.37,0,1.11
3Month,0,0,0.1,3.22,0,0,0,0.73,0,0.73,0.31,0,0.31,0.1,0.31,0.52,0.52,0.1,0.31,10.09,0.21,5.93,0.31,0,0.1,2.81,0.21,0,0,0,0.52,0.83
22Month,0,0.14,0,0.82,0.14,0,0,0,0.27,3.01,0.27,0.27,0.14,0,0,0.41,0.68,0.14,0,3.28,0,4.65,0.82,0,0,6.7,0,0,0,0,0,1.78
