stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,3,57,0,0,2,0,0,0,0,0,0,0,0
72hpf,1.41,0.28,0.85,0.28,0,0,0,0,0,0,0,0,0,0.28,2.25,0,2.82,0,0.28,84.84,12.12,0,0.28,3.1,0,0,1.97,0,0,0.28,0,0
21Day,2.22,0,1.85,0,2.22,3.33,0,0,0,0,0,4.07,0,0.37,0.37,0.74,4.07,0.74,0,45.14,6.66,0,0.37,2.22,0.74,0,0.37,0.37,0.37,0,0,2.22
3Month,0,0.1,1.56,0,0,0.1,1.14,0.42,0,1.14,0.1,0.1,0.21,0.1,0.21,0.42,0.1,0.83,0.31,0,0.1,0.21,0,0,0.31,4.47,0,0,0,0,26.63,0.42
22Month,0,0.14,0,0,0,0,0.14,0,0.14,0.14,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
