stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,13,1,0,3,0,0,0,0,0,0,0,0,6,2,0,1,0,48,0,1,0,0,0,0,0,0,0
72hpf,4.51,0.28,0,0.28,0,0,0,0,0,0,0.28,0.56,0,2.25,0,0,4.79,0.56,0.28,7.05,0,0,0,0,0,0,0
21Day,0,0.37,0.37,0.37,0.37,0,0,0,0,0,1.11,0.37,0,0.37,0,0,0.74,0,0,3.7,0,0.37,0,0,0,0,0
3Month,0.52,0.1,0,0.94,0,0.1,1.46,1.35,0,0.83,0.1,0.52,0.31,0.83,0.1,0.1,0.1,0,0,0.62,0.31,17.99,0.21,0.1,0,14.46,0.21
22Month,0.14,0,0,0.41,0,0,2.32,2.19,0.14,0.14,0,0,0,0.41,0,0,0.14,0.14,0,0,0.14,5.19,0,0,0.14,0,0.14
