stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0.37,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0.37
3Month,0.21,0.1,6.35,0.52,0,0.1,0.1,1.46,0,4.99,2.08,7.59,2.6,0.42,2.39,8.95,1.66,0.1,0,0.31,0.21,0.42,0.52,0.42,0.1,0.62,2.6,0.1,0,0.62,1.66,72.19
22Month,0.68,0.14,1.78,0.14,0,0,0.14,0.96,0.14,6.7,0.14,1.64,0.68,0.14,0.14,2.05,1.37,0,0.55,0.14,0,0.14,0,0.27,0,0.14,1.23,0,0.14,0,0,40.17
