stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,1,13,0,0,0,0,0,0,0,0,0
72hpf,0,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0.56,0,1.69,0,0.85,0.28,0.28,0.56,0,0,0.28,0.56,0,0,0,0,0
21Day,0.37,0,0.37,1.85,0,0,0,0,0,0,0.37,0,3.7,0,0,0.74,0.37,0.37,0,0,0,0.37,0.37,0,0,0,0,0,0,0,0,2.22
3Month,0,0.31,0,16.33,0,0,0.52,0.73,2.91,0,2.39,5.3,0.94,0.62,0.21,6.87,4.99,1.14,0.1,0,0.21,0,0,0.21,0,0,0.31,2.81,0,0.21,0.62,4.58
22Month,0.14,0.55,0.27,12.03,0,0.68,1.5,0.41,5.88,0.27,13.53,5.06,5.47,9.02,0.27,6.83,6.97,3.14,0,0.68,0,0,0.14,0.14,0.14,0.14,0.27,1.09,0.27,0.14,0,3.96
