stage,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0.37,0,0.37
3Month,0,0.1,0,0,0,0.52,0.31,0.1,0.21,0,0,0.1,0.31,0,0,0
22Month,0.14,0.41,0.14,0.27,0.14,3.14,0,0.55,0.14,0.68,0.27,0,0.27,0,0.27,0.27
