stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,1.97,0,0,0,0.28,0,0,0
21Day,0.74,0,0,0.74,0.37,0,0.37,0,0,0,0.37,0.37,0,0.37,1.11,0,3.33,0,0,0.37,0.37,0,0.37,1.48,1.11,0,0
3Month,0,0.31,0,0.94,0,0,0,0.1,0.21,0,0.31,0,0.31,0.1,0.52,0,0.21,0,0,0,0,0,0,0,0,0.31,0
22Month,0,0.14,0.14,2.6,0,0.14,0.14,0.14,0.27,0.55,9.16,0.41,0.96,0.14,1.09,0.96,0.96,2.05,0.14,0.27,0,0.14,0,0.14,0.14,0,0.41
