stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,2,0,0,0,0,0,0,0,0,0,0
72hpf,3.1,1.41,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,1.13,0.28,0,0,0.56,0,0,0,0.28,0,0,0
21Day,1.85,1.85,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,2.96,0,0,0.74,0.37,0,0,0.74,0.74,0,0,0.37,0,0,0
3Month,0,5.2,1.35,0,0.1,0,0.21,0.52,0.31,0,1.14,0.73,0.21,0,0.1,0.73,2.08,2.08,1.25,0,0.21,0.1,0,0,0.21,0.21,0.21,0.1,0.1,8.43,0.42,0.52
22Month,0.14,5.06,0.27,0,0,0.14,0,0.14,0.14,0.27,9.84,0.14,0.14,0.27,0,0,0.96,1.37,0.14,0.55,0.14,0,0.14,0.14,0,0,0,0.14,0,0.82,0,0.82
