stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0
72hpf,0.56,0,0,0,0,0,0,0,0.56,0,0.85,0,1.41,0.28,1.41,0,0,0.28,0
21Day,1.11,0.37,0,0,0,0,0,0,0,0,0.74,0,1.11,0.37,0.37,0.37,0,0,0
3Month,0,0,0,0.1,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0.21,0,0.1
22Month,0.14,0,0.14,0,0.55,0.55,0.14,0.41,0,0.14,0.27,0,0,0,0,0,0,0,0
