stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.95,0.85,1.13,1.41,2.82,0,0,0,0,0,0,0,0.28,0,1.13,5.36,0.85,4.23,0.56,0,453.21,14.37,0.85,0.56,4.79,0,0,2.25,0.28,0,0.85,0,0
21Day,2.22,0.37,8.51,0.37,7.03,0,0.37,0,0,0,0.37,0.37,1.11,0.37,0.74,2.22,1.11,5.18,0,0.37,183.51,4.81,0.37,0.74,2.96,4.07,0.37,2.22,0.74,3.33,0,0,0.37
3Month,0,0.1,3.22,0,0,0.1,0.1,0.31,0.1,0,3.43,0.21,0,1.35,0.73,0.73,0.62,0.21,0,0,13.21,0.1,0.21,0.21,0.1,0.1,3.22,0.21,0,0,0,0.73,0.1
22Month,0,0.55,3.01,0,0,0,0,0.41,0.27,0.27,12.3,0.41,0,1.91,0.14,0.14,0.41,0.55,0.41,0.14,4.51,0,0.41,0.14,0,0,1.09,0.14,0,0,0,0,0.41
