stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0,0,0,0,1
72hpf,1.13,0,0,0.56,0,0,0,0,0,0,1.69,1.69,0,79.48,14.66,0,0.56,0,0,1.13,0.28,0.28,0.85
21Day,0,0,1.11,0.37,0,0.74,0,0.74,0.74,0.37,0.37,1.11,0.37,28.12,11.47,0.74,0.37,1.48,0.37,0.74,2.59,0,0.37
3Month,0,0,0.1,0,0.21,0.1,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0.21,0,0,0,0.1
22Month,0,0.14,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0.68,0.14,0,0,0.68
