stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0,0.56,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0.74,1.11,0,0,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37
3Month,0.21,0.31,0.94,10.4,0,5.51,3.02,5.2,43.38,0.1,34.01,0,0.73,11.65,0.73,0.31,0,36.61,1.35,0.1,0.1,1.66,0.1,0,0.1,0.42,0.21,4.78,0.21,0.42,1.56,1.98
22Month,0.14,0.14,0.96,4.24,0.14,1.91,3.14,4.92,17.22,0.14,12.03,0.14,0,7.11,0.14,0,0.27,13.25,0.14,0,0,1.09,0,0.14,0,0,0,1.23,0.14,0,0,3.14
