stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0.56,0.56,0,0.56,0,0,0,0,7.33,1.41,0,0,0.28,0.28,0,0.85,0.28,0.28,0,0,0
21Day,0.37,0.37,3.7,0.37,0.37,0,1.48,0.37,0.37,0,0.37,0,1.48,0.37,1.11,2.22,1.11,3.33,0,0,0,0,2.96,1.11,1.11,0,0,0.37,0,1.11,0,0,0,0,1.48
3Month,0,0.21,1.77,0,0,0.21,0,5.2,0.52,0,10.09,0.31,0,1.25,0,0.21,0.52,0.62,0.1,0,0.1,0.1,0,0,0.1,0,0,0.31,0.73,0,0,0,0.21,0.1,0.31
22Month,0,0.14,0,0,0,0,0.14,0.55,0.14,0.14,7.93,0,0.27,1.09,0,0,0.14,0.27,0,0.14,0,0,0,0,0,0.14,0,0,0.27,0,0,0,0,0,0
