stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37
3Month,0.21,1.87,15.19,0.1,0.1,7.8,2.39,0,1.87,10.19,0.42,21.95,0.1,5.2,7.39,0.73,0.1,4.06,0.42,0,0.21,0.21,0.21,0.31,0.1,3.02
22Month,0.14,0.68,1.78,0,0,3.01,2.05,0.14,2.6,0.41,0.27,13.53,0.14,0.27,1.09,0.14,0,0.96,0,0.14,0.27,0.14,0,0,0,0.27
