stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0.28,0,0,0,0,0,0,0,0.28,0.56,1.41,0,0,0,27.62,3.66,0,0,0.28,0,0,0.28,0,0,0,0
21Day,0.37,0,1.11,0.37,0,0,0,0.37,0,0,0,0,0,2.96,0,0,0,11.84,1.48,0,0,0.37,0,0,0,0.37,0,0,0.74
3Month,0,0,1.14,0,0.1,0,0.21,2.08,0.52,0.1,0.1,0,0.1,0.21,0.21,0.1,0.21,0,0.1,0.1,0,0,0.21,7.18,0,0,0,0.42,0
22Month,0,0.14,0.41,0,0,0.14,0,4.1,0,0.41,0,0.14,0.14,0.27,0,0,0,0.41,0,0,0.27,0,0,3.96,0,0,0.14,0,0
