stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.41,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0.85,0,0,77.23,3.38,0.56,1.69,0,1.13,0,0,0.56,1.13,0,0,0
21Day,0.37,0,0,0.37,0,0,0,0,0,0,0,0,0,0.37,0,0.74,0.37,0.74,0,0,13.69,2.59,0,1.48,0,0.37,0.74,0,1.11,0,0,0,0
3Month,0,0.94,0.1,2.08,0,0.1,0.21,0.21,1.04,0.1,3.33,1.14,0,1.77,0.1,0.94,0.42,0.83,0,0.21,0.31,0,0.73,0.73,0,0,0.21,5.41,0,0,1.14,0.83,0.21
22Month,0.14,0.82,0.14,2.32,0,0.27,0.14,0.41,0.96,0.82,14.21,1.5,0.14,1.78,0,0.27,0.68,1.23,0.55,0.96,0.68,0,2.05,0,0.14,0,0.14,2.05,0.14,0,0,0,0.27
