stage,Enterocyte,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Muscle_cell,Primordial_germ_cell
21Day,0,0,0,0.37,0.37,0,1.11
3Month,0,0,0.21,0,0,0.1,0.21
22Month,0.14,0.14,0.55,0,0,0,0.14
