stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,3,36,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0.28,0,3.95,0,0.56,0,0,0,3.66,0,0,0,0,0,0,0.28,8.74,36.64,0,0,0.28,0,0,1.41,0.85,0,0,0,1.13,0,0,0,0.28,0,0,0,0
21Day,1.85,0.74,0,38.11,0.74,3.33,3.7,0,0,5.92,0.37,0,1.11,3.33,22.57,0.37,0.37,32.19,94.35,5.18,0,0,1.11,0,7.4,2.59,0.37,0.37,0,3.33,0.74,0,0.74,0.74,0.37,0,0,27.01
3Month,0,0.52,0.1,6.24,0,0,0.1,0,1.87,8.84,0,0,4.89,11.86,0.52,2.18,0.42,1.04,36.3,2.18,0.21,0,0.52,0.83,0.31,0,0.42,0.31,0,0.21,0.73,0.21,10.19,0,0,0.31,1.25,14.87
22Month,0.41,2.05,0.82,5.6,0,0,0.55,0.14,0.55,40.72,3.42,0,85.54,14.76,3.01,5.88,0.27,0.82,68.87,4.37,0,2.05,1.09,0,0.82,0,0.27,0.27,0.14,0.27,0.14,0,3.83,0,0.41,0.55,0,11.75
