stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0.28,0,0,0,0.28,0,0.85,0,0,0,0.28,0,0.28,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0
3Month,0.1,1.46,0.21,0.31,1.14,0.1,0.62,0.21,0,0.21,0.62,0,0.1,0.1,0,0,0.1,0,0,2.18,0,0.1,6.35,0.21
22Month,0.68,0.55,0.14,0.96,5.74,0.41,0,0.14,0,0.55,0.68,0.14,0,0,0.27,0,0,11.34,0,10.8,0,0.14,0,0.14
