stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,1.13,0.56,0.28,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0
3Month,0.1,0.42,1.66,0.42,0.1,0.83,0.73,0.1,0,1.14,0.21,0.42,28.5,0.42,0.1,0.21,0.1,0,0,0.42,0.52,0,0.42,28.71
22Month,0,0.14,0.27,0,0,0.41,1.09,0,0.14,0.14,0,0.41,14.76,0.27,0,0.14,0,0,0,0,0,0,0,12.57
