stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
72hpf,1.97,0,0.56,0,0.28,0,0,0,0,0,0,0,0,0,0,0.56,0,0.28,0,0,0,0.28,0,0,0.28,0,0,0.28,0,0.28,0,0
21Day,0,0,3.33,0,0,0,0,0,0,0,0.37,0,0,0,0,1.11,0,3.33,0,0,0.37,1.11,0.37,0,0.37,0.37,0,0,0,0,0,0
3Month,0,0.21,4.06,0,0,0,0.21,0.21,0.1,0,0.52,0.21,0,2.81,0.21,3.22,1.66,1.04,0.1,0,0.1,0.21,0.1,0,0.1,0,0.21,0,0.1,0,0.83,0.1
22Month,0,0.82,2.87,0.14,0,0.14,0,0.27,0.27,0.96,6.83,0.14,0.27,0.68,0,2.46,3.14,13.39,0.27,0.55,0.14,0.27,0,0.14,0,0.14,0.14,1.91,0.14,0,0,0
