stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,7,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
72hpf,1.97,0.56,0,1.69,268.04,0,3.95,0,0,0,0,0.28,0,0,1.13,0.28,1.69,0,0,0,7.61,1.13,0,0,3.38,0,0,0.56,0.28,0.28,0,0
21Day,1.85,0,0,1.11,277.86,0,68.08,0,0,0.37,0,0.74,0,0,0.74,0.37,1.48,0,0,1.85,2.22,1.48,0,0,0.74,4.81,0,0,0.37,2.96,0,0.37
3Month,0.1,0.42,0,0.73,0,4.99,3.95,0.1,0.1,0.83,0.1,0,0.73,0.73,0.31,0.42,0.42,0.21,0,0.52,0.73,0,0.21,0.1,0.1,0.1,1.46,0,0,0,0.1,0
22Month,0,0.41,0.68,0.96,0,2.19,2.19,0.55,0.55,3.69,0.14,0.27,6.56,0.14,0,0.27,1.09,0,0.14,0.14,0.14,0,0.68,0,0,0,5.88,0.14,0.14,0,0,0
