stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,4.51,0.56,2.25,0,0,0,0,0,0,0,0,0,0,1.41,163.75,0.56,2.25,0,0,0,91.6,7.61,4.51,0.28,0,2.25,0,0.56,0.56,8.74,7.89,0,0,0,0
21Day,1.48,0,0,22.2,0,3.7,0,1.11,0,0,2.22,0,0,0,4.81,0,1.11,35.89,2.96,4.44,0.37,1.85,0,64.01,1.85,1.11,0,0,2.59,1.48,1.85,0.74,39.96,108.41,0,0,0,2.22
3Month,0.1,0.62,0.42,74.06,0,0,0.1,0.1,0.1,0.42,1.35,0,4.06,1.46,2.08,1.35,2.18,2.18,10.09,1.14,0.1,0.31,0.52,38.8,0.1,9.78,0,0,0.21,0.62,12.79,0.31,0.73,0.1,0.21,0.52,2.08,2.29
22Month,0,1.37,0.41,11.62,0,0,0.14,0.96,0,0.27,4.65,0.41,9.02,2.73,6.29,1.37,0.27,0.68,13.8,1.91,0.27,0.27,0,16.94,0,9.02,0,0.27,0,0.27,15.44,0.55,39.49,0.14,0,0.14,0,1.37
