stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
24hpf,0,0,0,0,0,0,0,1
72hpf,0.56,0.28,0,0,0,0,0,0
21Day,0,0,0.37,0,0,0,0.37,0
22Month,0,0,0,0.14,0.41,0.14,0.14,0
