stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,2,6,3,6,0,0,0,1,25,0,0,1,0,0,0,0,0,0,0
72hpf,0.85,0.56,0,1.13,0.28,0,0,0,0,0,0,0,0,0,0,0,0.28,9.86,0,3.1,0,0,0,9.3,2.82,0,0.28,1.97,0.28,0,0.28,0.28,0,0,0
21Day,1.48,0,0,6.66,0.37,1.85,0,1.85,0,0,0,0,0,0,0.74,0.74,1.11,2.22,0.74,4.81,0,0,0,1.85,2.22,0,0,2.22,1.48,0,0.37,0,0,0,0
3Month,0,0.52,0.21,4.26,0,0,0.21,0,0,1.35,0.21,0,17.06,1.77,0.31,2.6,1.66,2.7,0.83,1.77,0,0.1,0.21,0.1,0.1,0.31,0.21,0.1,0.31,2.5,0,0,0.21,6.97,1.14
22Month,0,0.55,0.41,0.96,0,0,0,0.14,0.27,1.5,0.96,0,25.69,0.41,0,3.42,0.14,0.14,1.23,1.23,0.55,0.27,0.14,0.14,0,0.96,0,0,0,0,0,0,0,0,0.55
