stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,1,0,6,0,0,0,1,0,0,0,0,5,3,16,0,0,8,148,0,0,4,0,0,0,0,0,0
72hpf,1.13,0,0.85,0.56,0.85,0,0,0,0.56,0,0.85,1.97,0,5.07,0.28,0.28,14.09,21.98,0.28,0.85,3.95,0.28,0,1.41,0,0,0
21Day,2.59,0.37,5.18,0,1.11,1.11,0,0,2.22,0,0,2.22,1.11,9.62,0,1.85,4.44,15.91,0,0,1.85,0.74,0,1.85,1.11,1.11,0
3Month,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.21
22Month,0,0.27,0.27,0,0,0,0,0.55,0.41,0.27,0,0,0.14,0.14,0,0,0,0,0,0,0.14,0,0.68,0,0,0,0
