stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,0,0,0,1,1,1,22,0,0,0,0,0
72hpf,0.56,0.56,0,0.28,0.85,7.33,4.51,0.28,0.28,0.28,0.28,0.28
21Day,0,0,1.48,0,0.74,1.11,0.74,0,0,0,0,0
