stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,6,0,16,0,0,0,1,0,0,0,2,0,0,0,0,2,0,1,35,0,0,0,0,1,77,0,0,0,0,0,0,0,1,0,0,0
72hpf,0,0,0,3.95,1.41,0.28,0,0,0,0,0,0,0,0,0,0,3.38,0.28,0.28,29.31,0,0.28,1.41,0,1.97,7.61,1.13,13.25,0.56,0,0,0,0,1.41,0,0,0
21Day,0.37,0.74,0.37,0.37,0.37,0,0,0.74,0,0,0,0,0,0,0.37,0,0,0.37,0.37,20.72,0,0,1.11,0,1.48,3.7,0,16.28,1.11,0,0,0.37,0.74,0.74,0,0,0
3Month,0.1,0.1,0,1.87,0.21,0,0.21,0.1,0.1,0.1,0.1,0,1.98,0.83,0.21,4.16,1.14,0.62,0.21,6.45,0.21,0,1.04,0.31,0.1,0.21,3.33,0,0.1,4.47,0.21,0,0,0.21,0.1,0.83,0.21
22Month,0,0,0.41,0.55,0,0,0,0,0,0.14,0.14,0,5.74,0.27,0.27,2.87,0,0,0.14,3.55,0.14,0.14,0.27,0,0.27,0,1.5,0,0,3.14,0,0,0,0.14,0,0.14,0.14
