stage,Epithelial_cell,Erythrocyte,Keratinocyte,Neural_cell,Neural_progenitor_cell
24hpf,1,0,1,0,1
72hpf,0,0,7.05,0.28,0.28
21Day,1.85,0.37,4.81,0,0
