stage,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,2,0,0,0
72hpf,0,0,0,0,0,0.56,0.28,0.28,0.28,0,0,0
3Month,0.42,0.1,0.1,0.1,0.1,0,0.21,0,0,1.04,0.94,0.1
