stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0.28,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,5.36,3.66,0,0,0.28,0,0,0.56,0,0,0
21Day,0.37,0,1.11,0.37,0,0,0,0,0,0,0,0,0,0.37,0,0,0.37,0.37,0,0,0,0,2.22,4.07,0,0.37,0,0.37,0,0.37,0,0,0
3Month,1.87,0.1,0.94,0.1,0,0,0.1,0.31,0,0,0.73,0.31,0,0.62,0.1,0.31,0.42,0.73,0.42,0,0.52,0.31,0.1,1.46,0.21,0,0,0.21,3.22,0.1,1.14,0.21,0
22Month,3.28,0.27,1.09,0,0,0.14,0.14,0.55,0.82,0,9.02,0.14,0.14,1.23,0.14,0.41,0.14,2.19,0.14,0.41,0,0,0.27,0.55,0.41,0.14,0,0,1.23,0.14,0.14,0,0.14
